0.900000,0.004000,30.000000,0.000000,1,17.620000,15.000000,0.605516
0.900000,0.004000,30.000000,0.000000,2,12.040000,10.440000,0.287354
0.900000,0.004000,30.000000,0.000000,3,10.296000,8.580000,0.211054
0.900000,0.004000,30.000000,0.000000,4,9.196000,7.940000,0.179541
0.900000,0.004000,30.000000,0.000000,5,8.516000,7.560000,0.161612
0.900000,0.004000,30.000000,0.000000,6,8.034000,7.140000,0.149513
0.900000,0.004000,30.000000,0.000000,7,7.592000,6.760000,0.140573
0.900000,0.004000,30.000000,0.000000,8,7.336000,6.510000,0.133584
0.900000,0.004000,30.000000,0.000000,9,7.036000,6.300000,0.127897
0.900000,0.004000,30.000000,0.000000,10,6.824000,6.190000,0.123129
0.900000,0.004000,30.000000,0.000000,11,6.618000,6.030000,0.119034
0.900000,0.004000,30.000000,0.000000,12,6.404000,5.970000,0.115455
0.900000,0.004000,30.000000,0.000000,13,6.266000,5.860000,0.112282
0.900000,0.004000,30.000000,0.000000,14,6.128000,5.670000,0.109436
0.900000,0.004000,30.000000,0.000000,15,5.970000,5.590000,0.106863
0.900000,0.004000,30.000000,0.000000,16,5.806000,5.510000,0.104517
0.900000,0.004000,30.000000,0.000000,17,5.692000,5.400000,0.102367
0.900000,0.004000,30.000000,0.000000,18,5.548000,5.370000,0.100383
0.900000,0.004000,30.000000,0.000000,19,5.430000,5.270000,0.098545
0.900000,0.004000,30.000000,0.000000,20,5.354000,5.170000,0.096834
0.900000,0.004000,30.000000,0.000000,21,5.262000,5.100000,0.095233
0.900000,0.004000,30.000000,0.000000,22,5.180000,5.010000,0.093729
0.900000,0.004000,30.000000,0.000000,23,5.078000,4.970000,0.092311
0.900000,0.004000,30.000000,0.000000,24,5.010000,4.920000,0.090969
0.900000,0.004000,30.000000,0.000000,25,4.950000,4.890000,0.089694
0.900000,0.004000,30.000000,0.000000,26,4.868000,4.890000,0.088481
0.900000,0.004000,30.000000,0.000000,27,4.824000,4.810000,0.087322
0.900000,0.004000,30.000000,0.000000,28,4.774000,4.780000,0.086213
0.900000,0.004000,30.000000,0.000000,29,4.716000,4.750000,0.085149
0.900000,0.004000,30.000000,0.000000,30,4.662000,4.770000,0.084128
